kjønn,alder,type justering,statistikkvariabel,måned,value
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2007M12,NA
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2008M01,NA
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2008M02,NA
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2008M03,NA
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2008M04,NA
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2008M05,NA
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2008M06,NA
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2008M07,NA
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2008M08,NA
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2008M09,NA
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2008M10,NA
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2008M11,NA
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2008M12,NA
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2009M01,73.9
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2009M02,73.9
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2009M03,74.2
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2009M04,73.9
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2009M05,73.7
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2009M06,73.8
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2009M07,73.3
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2009M08,73.2
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2009M09,72.6
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2009M10,72.9
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2009M11,72.8
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2009M12,72.2
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2010M01,73.1
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2010M02,72.9
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2010M03,72.3
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2010M04,72.3
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2010M05,72.6
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2010M06,73.3
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2010M07,72.8
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2010M08,72.3
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2010M09,72.6
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2010M10,72.4
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2010M11,72.4
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2010M12,72.4
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2011M01,71.9
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2011M02,72.1
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2011M03,72.2
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2011M04,72.4
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2011M05,72.5
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2011M06,72.2
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2011M07,72.5
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2011M08,72.5
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2011M09,72.7
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2011M10,72.4
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2011M11,72.1
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2011M12,72.8
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2012M01,72.5
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2012M02,72.4
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2012M03,72.2
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2012M04,72.3
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2012M05,72.6
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2012M06,72
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2012M07,71.8
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2012M08,72.2
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2012M09,72.6
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2012M10,72.4
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2012M11,71.9
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2012M12,72.2
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2013M01,71.9
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2013M02,72
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2013M03,72.4
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2013M04,72.2
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2013M05,71.6
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2013M06,72
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2013M07,72.5
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2013M08,72.3
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2013M09,72.2
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2013M10,72
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2013M11,72.3
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2013M12,71.9
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2014M01,71.7
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2014M02,71.5
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2014M03,71.5
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2014M04,72.2
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2014M05,71.5
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2014M06,71.5
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2014M07,71.7
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2014M08,71.8
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2014M09,71.6
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2014M10,71.3
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2014M11,71.3
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2014M12,72.2
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2015M01,72
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2015M02,72
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2015M03,72
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2015M04,71.9
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2015M05,72.2
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2015M06,72.5
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2015M07,71.4
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2015M08,71.6
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2015M09,72.3
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2015M10,71.2
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2015M11,71.4
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2015M12,72.1
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2016M01,71.9
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2016M02,72.3
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2016M03,71.4
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2016M04,71.4
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2016M05,71.6
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2016M06,71
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2016M07,71.4
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2016M08,71.7
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2016M09,71
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2016M10,71.4
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2016M11,70.9
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2016M12,69.7
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2017M01,71
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2017M02,70.3
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2017M03,70.6
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2017M04,71.3
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2017M05,70.4
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2017M06,70.6
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2017M07,70.2
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2017M08,70.4
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2017M09,70.4
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2017M10,70.5
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2017M11,70.6
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2017M12,70.1
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2018M01,70.7
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2018M02,71
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2018M03,70.9
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2018M04,70.8
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2018M05,70.7
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2018M06,71.5
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2018M07,71.3
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2018M08,71
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2018M09,71.5
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2018M10,71.2
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2018M11,71.4
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2018M12,70.9
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2019M01,70.8
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2019M02,71.5
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2019M03,71.4
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2019M04,70.7
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2019M05,70.7
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2019M06,71.1
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2019M07,72
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2019M08,71.7
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2019M09,71.7
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2019M10,71.6
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2019M11,71
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2019M12,72.2
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2020M01,71.6
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2020M02,71.5
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2020M03,71.7
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2020M04,70.2
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2020M05,71.2
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2020M06,71
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2020M07,71.3
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2020M08,71.4
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2020M09,71.5
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2020M10,72.1
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2020M11,71.4
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2020M12,71.5
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2021M01,70.8
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2021M02,71.6
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2021M03,71
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2021M04,71.5
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2021M05,72.2
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2021M06,73.1
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2021M07,72.5
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2021M08,72.5
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2021M09,72.6
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2021M10,72.6
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2021M11,72.7
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2021M12,72.3
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2022M01,72.2
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2022M02,73.4
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2022M03,72.7
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2022M04,72.5
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2022M05,73.4
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2022M06,72.5
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2022M07,72.7
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2022M08,72.4
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2022M09,72.6
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2022M10,72.3
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2022M11,72.1
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2022M12,72.6
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2023M01,72.2
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2023M02,72.3
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2023M03,73
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2023M04,72.8
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2023M05,72.5
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2023M06,73
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2023M07,72.8
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2023M08,73.3
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2023M09,72.9
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2023M10,72.5
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2023M11,73
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2023M12,72.3
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2024M01,72.8
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2024M02,72.3
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2024M03,72.4
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2024M04,72.9
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2024M05,72.6
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2024M06,72.8
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2024M07,72.6
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2024M08,72.5
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2024M09,73.1
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2024M10,73
Begge kjønn,15-74 år,Sesongjustert,Arbeidsstyrken i prosent av befolkningen,2024M11,72.8
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2006M01,NA
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2006M02,NA
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2006M03,NA
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2006M04,NA
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2006M05,NA
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2006M06,NA
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2006M07,NA
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2006M08,NA
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2006M09,NA
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2006M10,NA
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2006M11,NA
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2006M12,NA
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2007M01,NA
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2007M02,NA
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2007M03,NA
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2007M04,NA
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2007M05,NA
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2007M06,NA
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2007M07,NA
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2007M08,NA
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2007M09,NA
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2007M10,NA
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2007M11,NA
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2007M12,NA
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2008M01,NA
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2008M02,NA
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2008M03,NA
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2008M04,NA
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2008M05,NA
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2008M06,NA
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2008M07,NA
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2008M08,NA
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2008M09,NA
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2008M10,NA
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2008M11,NA
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2008M12,NA
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2009M01,71.5
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2009M02,71.4
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2009M03,71.8
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2009M04,71.3
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2009M05,71.1
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2009M06,71.2
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2009M07,70.9
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2009M08,70.6
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2009M09,70.1
Begge kjønn,15-74 år,Sesongjustert,Sysselsatte i prosent av befolkningen,2009M10,70.4
